 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 2.03000000e-01  2.50000000e-01  2.03000000e-01  4.38285663e-01 
 2.04000000e-01  2.50000000e-01  2.04000000e-01  4.39120699e-01 
 2.05000000e-01  2.50000000e-01  2.05000000e-01  4.39982226e-01 
 2.06000000e-01  2.50000000e-01  2.06000000e-01  4.40875160e-01 
 2.07000000e-01  2.50000000e-01  2.07000000e-01  4.41789060e-01 
 2.08000000e-01  2.50000000e-01  2.08000000e-01  4.42720452e-01 
 2.09000000e-01  2.50000000e-01  2.09000000e-01  4.43680174e-01 
 2.10000000e-01  2.50000000e-01  2.10000000e-01  4.44670826e-01 
 2.11000000e-01  2.50000000e-01  2.11000000e-01  4.45697092e-01 
 2.12000000e-01  2.50000000e-01  2.12000000e-01  4.46737992e-01 
 2.13000000e-01  2.50000000e-01  2.13000000e-01  4.47821873e-01 
 2.14000000e-01  2.50000000e-01  2.14000000e-01  4.48940242e-01 
 2.15000000e-01  2.50000000e-01  2.15000000e-01  4.50081150e-01 
 2.16000000e-01  2.50000000e-01  2.16000000e-01  4.51260665e-01 
 2.17000000e-01  2.50000000e-01  2.17000000e-01  4.52463444e-01 
 2.18000000e-01  2.50000000e-01  2.18000000e-01  4.53713473e-01 
 2.19000000e-01  2.50000000e-01  2.19000000e-01  4.54990340e-01 
 2.20000000e-01  2.50000000e-01  2.20000000e-01  4.56318001e-01 
 2.21000000e-01  2.50000000e-01  2.21000000e-01  4.57662512e-01 
 2.22000000e-01  2.50000000e-01  2.22000000e-01  4.59061750e-01 
 2.23000000e-01  2.50000000e-01  2.23000000e-01  4.60496627e-01 
 2.24000000e-01  2.50000000e-01  2.24000000e-01  4.61971033e-01 
 2.25000000e-01  2.50000000e-01  2.25000000e-01  4.63484134e-01 
 2.26000000e-01  2.50000000e-01  2.26000000e-01  4.65060263e-01 
 2.27000000e-01  2.50000000e-01  2.27000000e-01  4.66666586e-01 
 2.28000000e-01  2.50000000e-01  2.28000000e-01  4.68322415e-01 
 2.29000000e-01  2.50000000e-01  2.29000000e-01  4.70027024e-01 
 2.30000000e-01  2.50000000e-01  2.30000000e-01  4.71781003e-01 
 2.31000000e-01  2.50000000e-01  2.31000000e-01  4.73579530e-01 
 2.32000000e-01  2.50000000e-01  2.32000000e-01  4.75447954e-01 
 2.33000000e-01  2.50000000e-01  2.33000000e-01  4.77359243e-01 
 2.34000000e-01  2.50000000e-01  2.34000000e-01  4.79327693e-01 
 2.35000000e-01  2.50000000e-01  2.35000000e-01  4.81348467e-01 
 2.36000000e-01  2.50000000e-01  2.36000000e-01  4.83447370e-01 
 2.37000000e-01  2.50000000e-01  2.37000000e-01  4.85602401e-01 
 2.38000000e-01  2.50000000e-01  2.38000000e-01  4.87797343e-01 
 2.39000000e-01  2.50000000e-01  2.39000000e-01  4.90081711e-01 
 2.40000000e-01  2.50000000e-01  2.40000000e-01  4.92415726e-01 
 2.41000000e-01  2.50000000e-01  2.41000000e-01  4.94840975e-01 
 2.42000000e-01  2.50000000e-01  2.42000000e-01  4.97325918e-01 
 2.43000000e-01  2.50000000e-01  2.43000000e-01  4.99887696e-01 
 2.44000000e-01  2.50000000e-01  2.44000000e-01  5.02526604e-01 
 2.45000000e-01  2.50000000e-01  2.45000000e-01  5.05240224e-01 
 2.46000000e-01  2.50000000e-01  2.46000000e-01  5.08059833e-01 
 2.47000000e-01  2.50000000e-01  2.47000000e-01  5.10935847e-01 
 2.48000000e-01  2.50000000e-01  2.48000000e-01  5.13920986e-01 
 2.49000000e-01  2.50000000e-01  2.49000000e-01  5.16973824e-01 
 2.50000000e-01  2.50000000e-01  2.50000000e-01  5.20128361e-01 
 2.51000000e-01  2.50000000e-01  2.51000000e-01  5.23376537e-01 
 2.52000000e-01  2.50000000e-01  2.52000000e-01  5.26725155e-01 
 2.53000000e-01  2.50000000e-01  2.53000000e-01  5.30185562e-01 
 2.54000000e-01  2.50000000e-01  2.54000000e-01  5.33738005e-01 
 2.55000000e-01  2.50000000e-01  2.55000000e-01  5.37405043e-01 
 2.56000000e-01  2.50000000e-01  2.56000000e-01  5.41180531e-01 
 2.57000000e-01  2.50000000e-01  2.57000000e-01  5.45070612e-01 
 2.58000000e-01  2.50000000e-01  2.58000000e-01  5.49081561e-01 
 2.59000000e-01  2.50000000e-01  2.59000000e-01  5.53234627e-01 
 2.60000000e-01  2.50000000e-01  2.60000000e-01  5.57484808e-01 
 2.61000000e-01  2.50000000e-01  2.61000000e-01  5.61880836e-01 
 2.62000000e-01  2.50000000e-01  2.62000000e-01  5.66404694e-01 
 2.63000000e-01  2.50000000e-01  2.63000000e-01  5.71072481e-01 
 2.64000000e-01  2.50000000e-01  2.64000000e-01  5.75897167e-01 
 2.65000000e-01  2.50000000e-01  2.65000000e-01  5.80842701e-01 
 2.66000000e-01  2.50000000e-01  2.66000000e-01  5.85957740e-01 
 2.67000000e-01  2.50000000e-01  2.67000000e-01  5.91243126e-01 
 2.68000000e-01  2.50000000e-01  2.68000000e-01  5.96677146e-01 
 2.69000000e-01  2.50000000e-01  2.69000000e-01  6.02305886e-01 
 2.70000000e-01  2.50000000e-01  2.70000000e-01  6.08088949e-01 
 2.71000000e-01  2.50000000e-01  2.71000000e-01  6.14051756e-01 
 2.72000000e-01  2.50000000e-01  2.72000000e-01  6.20204045e-01 
 2.73000000e-01  2.50000000e-01  2.73000000e-01  6.26546998e-01 
 2.74000000e-01  2.50000000e-01  2.74000000e-01  6.33094868e-01 
 2.75000000e-01  2.50000000e-01  2.75000000e-01  6.39842950e-01 
 2.76000000e-01  2.50000000e-01  2.76000000e-01  6.46820998e-01 
